iter	Passed	Remaining
0	160	159927
1	165	82497
2	168	55836
3	171	42672
4	174	34640
5	176	29292
6	180	25548
7	185	22968
8	188	20800
9	191	18992
10	199	17951
11	204	16820
12	208	15804
13	211	14885
14	215	14141
15	220	13550
16	224	12953
17	227	12423
18	235	12174
19	241	11819
20	245	11439
21	248	11050
22	252	10714
23	255	10375
24	264	10307
25	268	10072
26	273	9858
27	282	9789
28	286	9598
29	289	9367
30	294	9194
31	297	8986
32	302	8854
33	306	8706
34	311	8577
35	314	8412
36	318	8282
37	320	8122
38	325	8023
39	328	7885
40	334	7825
41	338	7714
42	341	7599
43	345	7510
44	351	7449
45	354	7343
46	357	7253
47	364	7231
48	370	7186
49	375	7125
50	378	7052
51	381	6962
52	384	6875
53	393	6889
54	397	6835
55	402	6778
56	405	6712
57	411	6683
58	416	6646
59	419	6570
60	423	6513
61	430	6519
62	434	6468
63	438	6413
64	442	6368
65	445	6307
66	454	6323
67	457	6270
68	461	6229
69	464	6176
70	474	6209
71	478	6164
72	483	6137
73	486	6083
74	489	6034
75	496	6040
76	503	6036
77	511	6051
78	516	6023
79	525	6040
80	528	5999
81	532	5965
82	543	6004
83	547	5973
84	552	5951
85	555	5908
86	560	5879
87	563	5836
88	567	5804
89	570	5772
90	575	5745
91	578	5706
92	588	5735
93	591	5701
94	596	5686
95	599	5649
96	605	5633
97	608	5599
98	611	5568
99	614	5531
100	618	5507
101	622	5476
102	626	5457
103	630	5428
104	636	5422
105	639	5394
106	648	5408
107	654	5405
108	658	5383
109	668	5409
110	672	5386
111	693	5500
112	713	5602
113	717	5576
114	721	5549
115	724	5524
116	728	5495
117	731	5465
118	734	5436
119	738	5414
120	742	5391
121	745	5362
122	751	5355
123	754	5326
124	778	5450
125	783	5432
126	790	5436
127	794	5412
128	798	5392
129	809	5416
130	814	5403
131	817	5375
132	820	5349
133	833	5386
134	837	5364
135	841	5346
136	844	5322
137	847	5294
138	852	5283
139	856	5261
140	859	5234
141	864	5223
142	872	5226
143	875	5206
144	880	5190
145	883	5165
146	885	5140
147	897	5164
148	900	5145
149	906	5137
150	914	5140
151	920	5135
152	924	5119
153	927	5095
154	930	5075
155	939	5083
156	942	5062
157	947	5050
158	951	5035
159	957	5027
160	960	5007
161	966	5000
162	971	4988
163	974	4969
164	979	4959
165	982	4938
166	985	4916
167	990	4907
168	995	4893
169	999	4878
170	1003	4866
171	1006	4845
172	1009	4825
173	1018	4836
174	1022	4820
175	1026	4807
176	1031	4794
177	1034	4776
178	1038	4764
179	1042	4748
180	1045	4730
181	1048	4713
182	1057	4720
183	1060	4703
184	1065	4695
185	1070	4684
186	1073	4667
187	1076	4650
188	1086	4660
189	1089	4645
190	1094	4635
191	1103	4643
192	1108	4633
193	1112	4622
194	1115	4604
195	1118	4587
196	1129	4602
197	1132	4587
198	1137	4577
199	1141	4567
200	1144	4551
201	1148	4538
202	1158	4548
203	1162	4535
204	1169	4533
205	1176	4533
206	1181	4526
207	1184	4511
208	1187	4494
209	1190	4478
210	1200	4487
211	1203	4473
212	1209	4468
213	1212	4454
214	1215	4437
215	1218	4422
216	1227	4428
217	1230	4415
218	1234	4403
219	1238	4390
220	1241	4374
221	1252	4390
222	1256	4377
223	1262	4373
224	1266	4361
225	1270	4351
226	1275	4342
227	1277	4327
228	1280	4312
229	1291	4324
230	1295	4313
231	1299	4302
232	1303	4290
233	1306	4275
234	1309	4261
235	1319	4272
236	1324	4262
237	1331	4263
238	1338	4262
239	1343	4253
240	1347	4242
241	1349	4228
242	1352	4214
243	1363	4224
244	1366	4211
245	1371	4202
246	1375	4191
247	1377	4177
248	1381	4166
249	1390	4172
250	1394	4161
251	1399	4153
252	1407	4155
253	1411	4144
254	1415	4136
255	1418	4122
256	1421	4109
257	1426	4101
258	1429	4089
259	1434	4083
260	1439	4076
261	1442	4063
262	1447	4055
263	1451	4045
264	1455	4037
265	1463	4039
266	1467	4028
267	1473	4024
268	1476	4012
269	1479	3998
270	1489	4006
271	1492	3994
272	1496	3984
273	1502	3980
274	1505	3968
275	1508	3957
276	1518	3964
277	1521	3952
278	1527	3947
279	1531	3937
280	1533	3924
281	1536	3912
282	1547	3920
283	1550	3908
284	1556	3905
285	1564	3905
286	1570	3901
287	1574	3892
288	1577	3880
289	1579	3868
290	1588	3869
291	1591	3858
292	1597	3854
293	1601	3846
294	1604	3834
295	1607	3823
296	1617	3829
297	1625	3828
298	1629	3820
299	1632	3809
300	1636	3801
301	1639	3790
302	1643	3780
303	1647	3772
304	1656	3775
305	1660	3766
306	1665	3758
307	1668	3747
308	1670	3736
309	1676	3732
310	1680	3723
311	1684	3715
312	1689	3707
313	1692	3696
